nome;valor;categoria;tipo;quartos;banheiros;area;detalhes;logradouro
´´ Pronto pra Morar Novo  82m ..;R$ 338.029;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Últimas unidades Mega Desconto  3-4  2 suíte  $$;R$ 338.004;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$   Melhor localidade do Bairro Luzia Oferta ;R$ 310.039;Apartamentos;Venda - apartamento padrão;3;2;74m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Palmira Ramos Teles
Desconto Blue Village  Localização da Barra dos Coqueiros Ligue ;R$ 166.035;Apartamentos;Venda - apartamento padrão;2;2;73m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Lançamento Bairro Luzia  Urbanus Luzia ..;R$ 310.024;Apartamentos;Venda - apartamento padrão;3;2;74m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Palmira Ramos Teles
. Residencial Del Rey Farolândia Oferta Imperdível Ligue ;R$ 285.013;Apartamentos;Venda - apartamento padrão;3;2;65m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Manoel Vicente de Brito
Inovador Canto Feliz Residencial - Oferta imperdível  venda;R$ 117.017;Apartamentos;Venda - apartamento padrão;2;1;52m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Localizado na Farolândia - Residencial Del Rey  ...;R$ 285.035;Apartamentos;Venda - apartamento padrão;3;2;65m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Manoel Vicente de Brito
´´ Apartamento Localizado no Marivan 2/4 Oportunidade venda;R$ 120.029;Apartamentos;Venda - apartamento padrão;2;1;43m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Oportunidade  apartamento Próximo avenida Rio de janeiro  #;R$ 199.015;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Apartamentos 2/4 Localizado Saída de Aracaju  Oferta ;R$ 106.029;Apartamentos;Venda - apartamento padrão;2;1;54m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Apto Localizado ponto novo  na planta  #;R$ 199.017;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ APTO Localizado na Jabutiana Oportunidade #;R$ 300.025;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Apto Planta  Localizado Farolândia  venda;R$ 237.014;Apartamentos;Venda - apartamento padrão;2;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Le Vert Boulevard Localizado Conjunto Augusto Franco #;R$ 240.015;Apartamentos;Venda - apartamento padrão;2;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Alziro Zarur
$$ Localizado Gragero  próximo shopping Jardins  Ligue ;R$ 874.010;Apartamentos;Venda - apartamento padrão;3;3;104m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Excelente casa no robalo <;R$ 230.004;Casas;Venda - casa em rua pública;4;3;405m²;Não definido;Não definido
